,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Emotion
0,David Guetta,I'm Good (Blue),I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,7,-3.673,0,0.0343,7.07e-06,0.371,0.304,128.04,175238,4,3
1,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,1,0.0475,0.000745,0.0546,0.825,139.994,148486,4,3
2,Coi Leray,Players,Players,6UN73IYd0hZxLi8wFPMQij,0.954,0.516,6,-5.817,1,0.16,7.54e-06,0.0504,0.624,105.001,139560,4,3
3,Nicky Youre,Shut Me Up,Shut Me Up,1XuushYZmiAuKpPYTj7p3v,0.623,0.641,10,-3.987,1,0.0462,1.09e-06,0.06,0.735,185.888,140710,4,3
4,The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.334,171.005,200040,4,3
5,Meghan Trainor,Takin' It Back,Made You Look,0QHEIqNKsMoOY5urbzN48u,0.838,0.525,10,-3.562,1,0.0665,1.92e-06,0.0771,0.884,144.981,134256,4,3
6,Walk Off the Earth,My Stupid Heart,My Stupid Heart,3UZDl7g2r84o1b5marUjfK,0.745,0.681,7,-7.91,1,0.0361,0.0,0.164,0.613,115.0,160300,4,3
7,Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.0,0.335,0.557,95.39,174000,4,3
8,Niall Horan,Heaven,Heaven,1yHVHoz6Ny29gbbWJYVnFt,0.571,0.761,5,-3.485,1,0.0261,0.0,0.331,0.681,91.991,186043,4,3
9,Meghan Trainor,Takin' It Back (Deluxe),Mother,69ZzhvHnSSnzMO8SMYEJWb,0.751,0.661,9,-6.131,1,0.0871,0.0,0.456,0.761,120.052,147481,4,3
10,Ed Sheeran,=,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.0,0.0424,0.822,141.02,207853,4,3
11,Mae Stephens,If We Ever Broke Up,If We Ever Broke Up,6maTPqynTmrkWIralgGaoP,0.898,0.732,7,-3.982,1,0.0427,1.29e-05,0.0908,0.96,115.955,142759,4,3
12,Sam Smith,Gloria,I'm Not Here To Make Friends,3i0FkJYlU4MFfYkjFHXXAM,0.698,0.895,0,-4.439,1,0.0628,1.45e-05,0.409,0.838,114.914,229605,4,3
